id,description,en,si,ta
config.application.vsExportDownloadFailed,Vital Statistics Export Empty State Text,Sorry! Something went wrong,සමාවන්න! දෝෂයක් සිදු විය,மன்னிக்கவும்! ஏதாவது தவறினால் ஏனையவை நெருக்கமாக இல்லை
config.application.vsexport,VS Export tab,Vital statistics,විශේෂ සංඛ්‍යාලයන්,முக்கிய புள்ளிகள்
config.certTemplate,Label for certificate templates,Certificate Template,සහත් අක්ෂර ආකෘතිය,சான்றிதழ் வார்ப்புரு
config.certificate.options,Show options,Options,විකල්ප,விருப்பங்கள்
config.emailAllUsers.modal.supportingCopy,Label for send email all users confirmation supporting copy,User will receive emails over the next 24 hours,පරිශීලකයට ඊමේල් 24 ක් පසු ලබා දෙනවා.,பயனர் அடுத்த 24 மணி நேரத்திற்குள் மின்னஞ்சல்களைப் பெறுவார்.
config.emailAllUsers.modal.title,Label for send email all users confirmation title,Send email to all users?,සියලුම භාවිතා කිරීමට ඊමේල් යවන්නේ?,அனைத்து பயனர்களுக்கு மின்னஞ்சல் அனுப்பவுமா?
config.emailAllUsers.subtitle,Subtitle for email all users,This email will be sent to all users who are active. Emails will be sent over the next 24 hours. Only one email can be sent per day,මෙම ඊමේල් සඳහා සියලුම පරිශීලකයන්ට යොමු වෙයි. ඊමේල් 24 වසර ඇතුළු යවනු ලැබේ. දිනකට එක ඊමේල් එකක් යවන හැකිය.,இந்த மின்னஞ்சல் செயலிகள் அனைத்து பயனர்களுக்கும் அனுப்பப்படும். மின்னஞ்சல்கள் அடுத்த 24 மணி நேரத்திற்கு அனுப்பப்படும். ஒரு நாளுக்கு மட்டும் ஒரு மின்னஞ்சல் அனுப்பப்படலாம்.
config.emailAllUsers.title,Title for email all users,Email all users,සියලුම භාවිතා කිරීමට ඊමේල් එවන්න,அனைத்து பயனர்களுக்கு மின்னஞ்சல் அனுப்பவும்.
config.userRoles.language,Language name,"{language, select, en {English} fr {French} other {{language}}}","{භාෂා, තෝරන්න, en {ඉංග්‍රීසි} fr {ප්‍රංශ} other {{භාෂා}}}","{மொழி, தேர்ந்தெடு, en {ஆங்கிலம்} fr {பிரஞ்சு} other {{மொழி}}}"
conflicts.modal.assign.description,Description for modal when assign,Please note you will have sole access to this record. Please make any updates promptly otherwise unassign the record.,කරුණාකර මෙම වාර්තාවට ඔබට අඩු ප්‍රිවිස්තය ඇත්දැයි සලකුණු දෙන්න. එය හෙළිදැයි වෙනස් කිරීම් කරන්න. නැවත අයිතිකරන්නේ වාර්තාව අයිති කිරීමට නොහැකි විට.,"இந்த பதிவுக்கு உங்களுக்கு மட்டுமே அணுகல் இருப்பதை கொண்டுவருக. விரைவாக எந்த மேம்படுத்தல்களைச் செய்யவும், இல்லாதிருந்தால் பதிவை விலக்குங்கள்."
conflicts.modal.assign.title,Title for modal when assign,Assign record?,රෙකෝඩ් පැවරුම?,பதிவை ஒதுக்குக?
conflicts.modal.assigned.description,Description for modal when record already assigned,{name} at {officeName} has sole editable access to this record,{name} යා {officeName} එකේ මෙම වාර්තාවට සංස්කරණය කළ හැකිය.,{name} என்றால் {officeName} உடன் இந்த பதிவுக்கு ஒருவர் மட்டும் திருத்த அணுகல் உள்ளன
conflicts.modal.assigned.title,Title for modal when record already assigned,Assigned record,පැවරුම් වාර්තාව,ஒதுக்கப்பட்ட பதிவு
conflicts.modal.regUnassign.description,Description for modal when registrar wants to unassign an assigned user,{name} at {officeName} currently has sole editable access to this record. Unassigning this record will mean their current edits will be lost. Please confirm you wish to continue.,{officeName} හි {name} විසින් මෙම වාර්තාව සංස්කරණය කළ හැකි අතර සංස්කාරක ප්‍රවේශයක් ඇත. මෙම වාර්තාව අවසන් කිරීම අරඹන්නේ අත්‍යවශ්‍යයි. කරුණාකර ඔබට මෙම ක්‍රියාත්මක කිරීමට අවශ්‍යද තහවුරු කරන්න.,{name} என்றால் {officeName}-ல் இருக்கின்றார். இந்த பதிவுக்கு அவருக்கு ஒருவர் திரும்ப எழுத முடியும் அணுகும் உரிமை உள்ளது. இந்த பதிவை விலக்குவதன் மூலம் அவர்கள் தற்போது செய்திகள் இழந்துபோகும். தொடர விரும்புகிறீர்களா என்று உறுதிப்படுத்தவும்.
